pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,seed,wins,losses,winp,cwins,closses,cwinp,year,team0,team1,result
83.0,7.993,27.0,-14.0,0.021,-3.0,-27.0,0.016,32.0,-9.0,0.058,9.0,1.103,-52.0,-0.203,-43.0,0.9,-17.0,0.521,-74.0,-2.067,-35.0,-0.921,-34.0,-0.253,-36.0,0.04,-11.0,-1.0,-1.0,0.026,1.0,1.0,-0.054,2003.0,Marquette,Holy Cross,0.0
-83.0,-7.993,-27.0,14.0,-0.021,3.0,27.0,-0.016,-32.0,9.0,-0.058,-9.0,-1.103,52.0,0.203,43.0,-0.9,17.0,-0.521,74.0,2.067,35.0,0.921,34.0,0.253,36.0,-0.04,11.0,1.0,1.0,-0.026,-1.0,-1.0,0.054,2003.0,Holy Cross,Marquette,1.0
317.0,1.245,77.0,156.0,0.007,59.0,137.0,0.021,103.0,138.0,0.008,-23.0,-2.259,164.0,2.344,140.0,0.054,103.0,1.705,-43.0,-2.169,63.0,1.487,-7.0,-1.852,77.0,0.169,-3.0,3.0,1.0,0.018,1.0,-1.0,0.062,2003.0,Indiana,Alabama,0.0
-317.0,-1.245,-77.0,-156.0,-0.007,-59.0,-137.0,-0.021,-103.0,-138.0,-0.008,23.0,2.259,-164.0,-2.344,-140.0,-0.054,-103.0,-1.705,43.0,2.169,-63.0,-1.487,7.0,1.852,-77.0,-0.169,3.0,-3.0,-1.0,-0.018,-1.0,1.0,-0.062,2003.0,Alabama,Indiana,1.0
-104.0,-0.948,-38.0,-183.0,0.03,-28.0,-16.0,-0.04,-2.0,85.0,-0.094,-46.0,-1.155,37.0,1.951,-7.0,0.861,31.0,1.57,10.0,0.583,36.0,1.294,-11.0,0.123,-5.0,0.419,-13.0,4.0,-5.0,0.156,-1.0,-1.0,0.034,2003.0,Pittsburgh,Wagner,0.0
104.0,0.948,38.0,183.0,-0.03,28.0,16.0,0.04,2.0,-85.0,0.094,46.0,1.155,-37.0,-1.951,7.0,-0.861,-31.0,-1.57,-10.0,-0.583,-36.0,-1.294,11.0,-0.123,5.0,-0.419,13.0,-4.0,5.0,-0.156,1.0,1.0,-0.034,2003.0,Wagner,Pittsburgh,1.0
404.0,10.531,191.0,298.0,0.029,-34.0,-52.0,-0.027,56.0,79.0,0.001,112.0,3.23,36.0,0.435,150.0,3.729,108.0,2.961,99.0,2.944,48.0,1.382,63.0,1.582,-61.0,-2.529,-8.0,2.0,-1.0,0.038,5.0,-3.0,0.214,2003.0,Kentucky,Utah,0.0
-404.0,-10.531,-191.0,-298.0,-0.029,34.0,52.0,0.027,-56.0,-79.0,-0.001,-112.0,-3.23,-36.0,-0.435,-150.0,-3.729,-108.0,-2.961,-99.0,-2.944,-48.0,-1.382,-63.0,-1.582,61.0,2.529,8.0,-2.0,1.0,-0.038,-5.0,3.0,-0.214,2003.0,Utah,Kentucky,1.0
228.0,2.792,92.0,195.0,0.001,25.0,64.0,0.004,19.0,37.0,-0.014,44.0,0.812,165.0,3.935,210.0,4.779,73.0,1.498,32.0,0.581,73.0,2.172,140.0,3.842,106.0,2.462,8.0,1.0,1.0,-0.017,0.0,2.0,-0.083,2003.0,Wisconsin,Tulsa,0.0
-228.0,-2.792,-92.0,-195.0,-0.001,-25.0,-64.0,-0.004,-19.0,-37.0,0.014,-44.0,-0.812,-165.0,-3.935,-210.0,-4.779,-73.0,-1.498,-32.0,-0.581,-73.0,-2.172,-140.0,-3.842,-106.0,-2.462,-8.0,-1.0,-1.0,0.017,0.0,-2.0,0.083,2003.0,Tulsa,Wisconsin,1.0
-28.0,6.683,-48.0,-259.0,0.042,-70.0,-223.0,0.022,138.0,98.0,0.111,-53.0,-0.545,-111.0,-1.359,-164.0,-1.903,31.0,2.579,-9.0,0.29,-31.0,-0.644,-46.0,-0.205,-2.0,1.736,-3.0,4.0,-7.0,0.216,5.0,-5.0,0.313,2003.0,Marquette,Missouri,0.0
28.0,-6.683,48.0,259.0,-0.042,70.0,223.0,-0.022,-138.0,-98.0,-0.111,53.0,0.545,111.0,1.359,164.0,1.903,-31.0,-2.579,9.0,-0.29,31.0,0.644,46.0,0.205,2.0,-1.736,3.0,-4.0,7.0,-0.216,-5.0,5.0,-0.313,2003.0,Missouri,Marquette,1.0
-19.0,4.069,56.0,-152.0,0.075,-48.0,-149.0,0.006,-82.0,-41.0,-0.078,-16.0,0.138,-83.0,-1.127,-97.0,-0.925,88.0,3.855,100.0,3.629,-48.0,-1.244,86.0,3.614,-39.0,-0.095,-5.0,5.0,-7.0,0.208,5.0,-5.0,0.312,2003.0,Pittsburgh,Indiana,0.0
19.0,-4.069,-56.0,152.0,-0.075,48.0,149.0,-0.006,82.0,41.0,0.078,16.0,-0.138,83.0,1.127,97.0,0.925,-88.0,-3.855,-100.0,-3.629,48.0,1.244,-86.0,-3.614,39.0,0.095,5.0,-5.0,7.0,-0.208,-5.0,5.0,-0.312,2003.0,Indiana,Pittsburgh,1.0
430.0,6.807,185.0,295.0,0.026,8.0,27.0,-0.003,52.0,101.0,-0.034,107.0,2.461,96.0,0.983,204.0,3.475,134.0,2.943,45.0,0.75,84.0,2.36,144.0,3.521,127.0,2.578,-4.0,5.0,-2.0,0.085,4.0,-4.0,0.25,2003.0,Kentucky,Wisconsin,0.0
-430.0,-6.807,-185.0,-295.0,-0.026,-8.0,-27.0,0.003,-52.0,-101.0,0.034,-107.0,-2.461,-96.0,-0.983,-204.0,-3.475,-134.0,-2.943,-45.0,-0.75,-84.0,-2.36,-144.0,-3.521,-127.0,-2.578,4.0,-5.0,2.0,-0.085,-4.0,4.0,-0.25,2003.0,Wisconsin,Kentucky,1.0
-43.0,3.793,-44.0,-30.0,-0.018,-28.0,-116.0,0.029,75.0,-22.0,0.135,31.0,1.836,-61.0,-0.503,-31.0,1.3,-73.0,-1.346,-74.0,-2.067,-20.0,-0.421,-75.0,-1.619,-18.0,0.64,1.0,0.0,-2.0,0.06,1.0,-1.0,0.063,2003.0,Pittsburgh,Marquette,1.0
43.0,-3.793,44.0,30.0,0.018,28.0,116.0,-0.029,-75.0,22.0,-0.135,-31.0,-1.836,61.0,0.503,31.0,-1.3,73.0,1.346,74.0,2.067,20.0,0.421,75.0,1.619,18.0,-0.64,-1.0,0.0,2.0,-0.06,-1.0,1.0,-0.063,2003.0,Marquette,Pittsburgh,0.0
286.0,-0.862,149.0,293.0,0.004,27.0,104.0,-0.023,-39.0,4.0,-0.063,43.0,-0.161,77.0,-0.464,121.0,-0.594,62.0,-0.102,80.0,1.75,63.0,1.509,77.0,0.755,36.0,-1.201,-2.0,2.0,2.0,-0.049,2.0,-2.0,0.125,2003.0,Kentucky,Marquette,1.0
-286.0,0.862,-149.0,-293.0,-0.004,-27.0,-104.0,0.023,39.0,-4.0,0.063,-43.0,0.161,-77.0,0.464,-121.0,0.594,-62.0,0.102,-80.0,-1.75,-63.0,-1.509,-77.0,-0.755,-36.0,1.201,2.0,-2.0,-2.0,0.049,-2.0,2.0,-0.125,2003.0,Marquette,Kentucky,0.0
96.0,15.82,11.0,-22.0,0.011,15.0,40.0,0.002,63.0,57.0,0.035,10.0,2.473,-75.0,1.802,-64.0,4.305,18.0,3.213,16.0,1.783,18.0,1.184,-65.0,0.259,-27.0,1.871,-15.0,4.0,-9.0,0.257,6.0,-4.0,0.256,2003.0,Arizona,Vermont,0.0
-96.0,-15.82,-11.0,22.0,-0.011,-15.0,-40.0,-0.002,-63.0,-57.0,-0.035,-10.0,-2.473,75.0,-1.802,64.0,-4.305,-18.0,-3.213,-16.0,-1.783,-18.0,-1.184,65.0,-0.259,27.0,-1.871,15.0,-4.0,9.0,-0.257,-6.0,4.0,-0.256,2003.0,Vermont,Arizona,1.0
504.0,9.744,167.0,132.0,0.066,35.0,45.0,0.034,135.0,159.0,0.033,28.0,-0.158,122.0,1.779,150.0,1.617,144.0,3.456,67.0,1.663,-10.0,-0.734,149.0,3.79,47.0,-0.319,1.0,8.0,-5.0,0.203,3.0,-5.0,0.295,2003.0,Cincinnati,Gonzaga,1.0
-504.0,-9.744,-167.0,-132.0,-0.066,-35.0,-45.0,-0.034,-135.0,-159.0,-0.033,-28.0,0.158,-122.0,-1.779,-150.0,-1.617,-144.0,-3.456,-67.0,-1.663,10.0,0.734,-149.0,-3.79,-47.0,0.319,-1.0,-8.0,5.0,-0.203,-3.0,5.0,-0.295,2003.0,Gonzaga,Cincinnati,0.0
86.0,2.774,-7.0,92.0,-0.027,19.0,5.0,0.026,81.0,46.0,0.07,8.0,0.258,108.0,3.484,116.0,3.742,-5.0,-0.161,-41.0,-1.322,64.0,2.064,-64.0,-2.064,-119.0,-3.839,-7.0,-1.0,1.0,-0.032,-3.0,3.0,-0.187,2003.0,Notre Dame,Milwaukee,0.0
-86.0,-2.774,7.0,-92.0,0.027,-19.0,-5.0,-0.026,-81.0,-46.0,-0.07,-8.0,-0.258,-108.0,-3.484,-116.0,-3.742,5.0,0.161,41.0,1.322,-64.0,-2.064,64.0,2.064,119.0,3.839,7.0,1.0,-1.0,0.032,3.0,-3.0,0.187,2003.0,Milwaukee,Notre Dame,1.0
107.0,-1.371,25.0,113.0,-0.016,23.0,62.0,0.0,35.0,108.0,-0.064,110.0,2.905,-1.0,-1.539,108.0,1.333,-86.0,-3.831,18.0,0.125,21.0,0.461,87.0,1.902,18.0,-0.633,9.0,1.0,1.0,-0.017,1.0,-3.0,0.169,2003.0,Illinois,Western Kentucky,0.0
-107.0,1.371,-25.0,-113.0,0.016,-23.0,-62.0,0.0,-35.0,-108.0,0.064,-110.0,-2.905,1.0,1.539,-108.0,-1.333,86.0,3.831,-18.0,-0.125,-21.0,-0.461,-87.0,-1.902,-18.0,0.633,-9.0,-1.0,-1.0,0.017,-1.0,3.0,-0.169,2003.0,Western Kentucky,Illinois,1.0
201.0,1.371,131.0,293.0,-0.009,52.0,125.0,0.006,-116.0,-89.0,-0.073,43.0,0.733,71.0,0.857,115.0,1.62,73.0,1.272,59.0,1.359,31.0,0.711,-101.0,-4.106,-53.0,-2.828,-5.0,3.0,-1.0,0.042,1.0,-1.0,0.055,2003.0,Creighton,Central Michigan,1.0
-201.0,-1.371,-131.0,-293.0,0.009,-52.0,-125.0,-0.006,116.0,89.0,0.073,-43.0,-0.733,-71.0,-0.857,-115.0,-1.62,-73.0,-1.272,-59.0,-1.359,-31.0,-0.711,101.0,4.106,53.0,2.828,5.0,-3.0,1.0,-0.042,-1.0,1.0,-0.055,2003.0,Central Michigan,Creighton,0.0
66.0,7.186,-37.0,132.0,-0.057,86.0,249.0,-0.007,54.0,58.0,0.016,21.0,1.394,-60.0,-0.508,-38.0,0.919,-91.0,-1.979,79.0,3.0,9.0,0.602,-111.0,-2.598,-25.0,0.545,-11.0,5.0,-7.0,0.206,6.0,-4.0,0.331,2003.0,Duke,Colorado State,0.0
-66.0,-7.186,37.0,-132.0,0.057,-86.0,-249.0,0.007,-54.0,-58.0,-0.016,-21.0,-1.394,60.0,0.508,38.0,-0.919,91.0,1.979,-79.0,-3.0,-9.0,-0.602,111.0,2.598,25.0,-0.545,11.0,-5.0,7.0,-0.206,-6.0,4.0,-0.331,2003.0,Colorado State,Duke,1.0
143.0,2.283,67.0,-30.0,0.046,-83.0,-206.0,-0.028,93.0,123.0,0.016,-18.0,-1.026,-68.0,-3.102,-86.0,-4.128,-5.0,-0.721,-55.0,-2.079,-20.0,-0.839,18.0,0.143,46.0,0.915,3.0,-2.0,3.0,-0.091,-1.0,3.0,-0.139,2003.0,Memphis,Arizona State,1.0
-143.0,-2.283,-67.0,30.0,-0.046,83.0,206.0,0.028,-93.0,-123.0,-0.016,18.0,1.026,68.0,3.102,86.0,4.128,5.0,0.721,55.0,2.079,20.0,0.839,-18.0,-0.143,-46.0,-0.915,-3.0,2.0,-3.0,0.091,1.0,-3.0,0.139,2003.0,Arizona State,Memphis,0.0
514.0,16.062,211.0,336.0,0.028,24.0,78.0,-0.007,66.0,139.0,-0.042,44.0,1.375,161.0,5.031,204.0,6.375,91.0,2.844,163.0,5.094,95.0,2.969,83.0,2.594,19.0,0.594,-13.0,2.0,-2.0,0.062,2.0,-4.0,0.208,2003.0,Kansas,Utah State,0.0
-514.0,-16.062,-211.0,-336.0,-0.028,-24.0,-78.0,0.007,-66.0,-139.0,0.042,-44.0,-1.375,-161.0,-5.031,-204.0,-6.375,-91.0,-2.844,-163.0,-5.094,-95.0,-2.969,-83.0,-2.594,-19.0,-0.594,13.0,-2.0,2.0,-0.062,-2.0,4.0,-0.208,2003.0,Utah State,Kansas,1.0
-3.0,8.149,43.0,122.0,-0.008,-25.0,-27.0,-0.027,-60.0,-62.0,-0.022,66.0,3.515,7.0,2.828,72.0,6.311,5.0,1.865,29.0,1.765,9.0,0.698,-31.0,0.424,-81.0,-0.895,-8.0,1.0,-4.0,0.119,5.0,-1.0,0.087,2003.0,Arizona,Gonzaga,0.0
3.0,-8.149,-43.0,-122.0,0.008,25.0,27.0,0.027,60.0,62.0,0.022,-66.0,-3.515,-7.0,-2.828,-72.0,-6.311,-5.0,-1.865,-29.0,-1.765,-9.0,-0.698,31.0,-0.424,81.0,0.895,8.0,-1.0,4.0,-0.119,-5.0,1.0,-0.087,2003.0,Gonzaga,Arizona,1.0
220.0,4.664,31.0,189.0,-0.031,34.0,67.0,0.014,124.0,137.0,0.035,61.0,1.693,50.0,0.835,111.0,2.527,-26.0,-1.429,21.0,0.452,81.0,2.512,2.0,-0.357,-71.0,-2.907,1.0,0.0,1.0,-0.025,-1.0,1.0,-0.063,2003.0,Illinois,Notre Dame,1.0
-220.0,-4.664,-31.0,-189.0,0.031,-34.0,-67.0,-0.014,-124.0,-137.0,-0.035,-61.0,-1.693,-50.0,-0.835,-111.0,-2.527,26.0,1.429,-21.0,-0.452,-81.0,-2.512,-2.0,0.357,71.0,2.907,-1.0,0.0,-1.0,0.025,1.0,-1.0,0.063,2003.0,Notre Dame,Illinois,0.0
45.0,4.096,7.0,206.0,-0.053,7.0,68.0,-0.031,24.0,92.0,-0.055,62.0,2.381,-6.0,0.512,57.0,2.926,-66.0,-1.683,36.0,1.435,37.0,1.359,-117.0,-3.325,12.0,1.072,-8.0,-1.0,0.0,-0.006,-3.0,1.0,-0.09,2003.0,Duke,Central Michigan,0.0
-45.0,-4.096,-7.0,-206.0,0.053,-7.0,-68.0,0.031,-24.0,-92.0,0.055,-62.0,-2.381,6.0,-0.512,-57.0,-2.926,66.0,1.683,-36.0,-1.435,-37.0,-1.359,117.0,3.325,-12.0,-1.072,8.0,1.0,0.0,0.006,3.0,-1.0,0.09,2003.0,Central Michigan,Duke,1.0
346.0,6.012,159.0,298.0,0.008,34.0,79.0,0.018,-6.0,-8.0,-0.001,59.0,1.111,183.0,4.345,241.0,5.425,72.0,1.256,166.0,4.856,33.0,0.761,55.0,0.852,-58.0,-3.029,-8.0,7.0,-5.0,0.179,3.0,-5.0,0.264,2003.0,Kansas,Arizona State,0.0
-346.0,-6.012,-159.0,-298.0,-0.008,-34.0,-79.0,-0.018,6.0,8.0,0.001,-59.0,-1.111,-183.0,-4.345,-241.0,-5.425,-72.0,-1.256,-166.0,-4.856,-33.0,-0.761,-55.0,-0.852,58.0,3.029,8.0,-7.0,5.0,-0.179,-3.0,5.0,-0.264,2003.0,Arizona State,Kansas,1.0
-97.0,5.117,7.0,-40.0,0.013,-60.0,-111.0,-0.032,-47.0,-8.0,-0.059,84.0,4.095,-21.0,1.925,63.0,6.02,-30.0,0.736,9.0,1.119,-57.0,-1.431,18.0,2.004,-6.0,1.524,-4.0,2.0,-5.0,0.151,7.0,-5.0,0.319,2003.0,Arizona,Notre Dame,0.0
97.0,-5.117,-7.0,40.0,-0.013,60.0,111.0,0.032,47.0,8.0,0.059,-84.0,-4.095,21.0,-1.925,-63.0,-6.02,30.0,-0.736,-9.0,-1.119,57.0,1.431,-18.0,-2.004,6.0,-1.524,4.0,-2.0,5.0,-0.151,-7.0,5.0,-0.319,2003.0,Notre Dame,Arizona,1.0
191.0,0.845,166.0,197.0,0.038,-65.0,-164.0,-0.015,-76.0,-63.0,-0.04,57.0,1.044,186.0,4.445,241.0,5.425,134.0,3.323,70.0,1.656,9.0,-0.039,53.0,0.786,-111.0,-4.795,-1.0,2.0,0.0,0.012,3.0,-3.0,0.187,2003.0,Kansas,Duke,0.0
-191.0,-0.845,-166.0,-197.0,-0.038,65.0,164.0,0.015,76.0,63.0,0.04,-57.0,-1.044,-186.0,-4.445,-241.0,-5.425,-134.0,-3.323,-70.0,-1.656,-9.0,0.039,-53.0,-0.786,111.0,4.795,1.0,-2.0,0.0,-0.012,-3.0,3.0,-0.187,2003.0,Duke,Kansas,1.0
264.0,-2.402,136.0,166.0,0.03,-42.0,-110.0,-0.008,30.0,79.0,-0.032,10.0,-1.477,89.0,-0.581,98.0,-2.089,56.0,-0.451,85.0,1.585,45.0,0.88,59.0,0.005,29.0,-1.312,1.0,1.0,3.0,-0.081,-3.0,1.0,-0.069,2003.0,Arizona,Kansas,1.0
-264.0,2.402,-136.0,-166.0,-0.03,42.0,110.0,0.008,-30.0,-79.0,0.032,-10.0,1.477,-89.0,0.581,-98.0,2.089,-56.0,0.451,-85.0,-1.585,-45.0,-0.88,-59.0,-0.005,-29.0,1.312,-1.0,-1.0,-3.0,0.081,3.0,-1.0,0.069,2003.0,Kansas,Arizona,0.0
-49.0,-1.633,14.0,64.0,-0.009,69.0,105.0,0.06,-146.0,-216.0,0.009,-21.0,-0.7,16.0,0.533,-6.0,-0.2,117.0,3.9,-31.0,-1.034,27.0,0.9,-213.0,-7.1,-62.0,-2.067,-15.0,3.0,-3.0,0.1,-3.0,1.0,-0.083,2003.0,Oklahoma,South Carolina State,0.0
49.0,1.633,-14.0,-64.0,0.009,-69.0,-105.0,-0.06,146.0,216.0,-0.009,21.0,0.7,-16.0,-0.533,6.0,0.2,-117.0,-3.9,31.0,1.034,-27.0,-0.9,213.0,7.1,62.0,2.067,15.0,-3.0,3.0,-0.1,3.0,-1.0,0.083,2003.0,South Carolina State,Oklahoma,1.0
-12.0,2.083,63.0,106.0,0.009,-53.0,-181.0,0.023,-80.0,-47.0,-0.077,31.0,1.378,58.0,2.707,87.0,4.017,26.0,1.4,-44.0,-1.248,-11.0,-0.274,-11.0,0.102,-64.0,-1.566,-1.0,5.0,-6.0,0.191,6.0,-4.0,0.284,2003.0,California,NC State,0.0
12.0,-2.083,-63.0,-106.0,-0.009,53.0,181.0,-0.023,80.0,47.0,0.077,-31.0,-1.378,-58.0,-2.707,-87.0,-4.017,-26.0,-1.4,44.0,1.248,11.0,0.274,11.0,-0.102,64.0,1.566,1.0,-5.0,6.0,-0.191,-6.0,4.0,-0.284,2003.0,NC State,California,1.0
-56.0,-1.867,-68.0,-160.0,0.005,84.0,161.0,0.044,-3.0,-38.0,0.046,-141.0,-4.7,-138.0,-4.6,-281.0,-9.366,-51.0,-1.7,-70.0,-2.333,-57.0,-1.9,-151.0,-5.033,8.0,0.267,7.0,6.0,-6.0,0.2,4.0,-4.0,0.25,2003.0,Mississippi State,Butler,1.0
56.0,1.867,68.0,160.0,-0.005,-84.0,-161.0,-0.044,3.0,38.0,-0.046,141.0,4.7,138.0,4.6,281.0,9.366,51.0,1.7,70.0,2.333,57.0,1.9,151.0,5.033,-8.0,-0.267,-7.0,-6.0,6.0,-0.2,-4.0,4.0,-0.25,2003.0,Butler,Mississippi State,0.0
315.0,10.5,105.0,230.0,0.0,64.0,167.0,0.006,41.0,53.0,0.005,76.0,2.533,46.0,1.533,122.0,4.066,84.0,2.8,-3.0,-0.1,2.0,0.066,-57.0,-1.9,130.0,4.334,-9.0,0.0,0.0,0.0,-2.0,2.0,-0.124,2003.0,Louisville,Austin Peay,0.0
-315.0,-10.5,-105.0,-230.0,0.0,-64.0,-167.0,-0.006,-41.0,-53.0,-0.005,-76.0,-2.533,-46.0,-1.533,-122.0,-4.066,-84.0,-2.8,3.0,0.1,-2.0,-0.066,57.0,1.9,-130.0,-4.334,9.0,0.0,0.0,0.0,2.0,-2.0,0.124,2003.0,Austin Peay,Louisville,1.0
196.0,-0.485,103.0,280.0,-0.017,-96.0,-197.0,-0.037,87.0,167.0,-0.045,103.0,2.559,60.0,-0.311,163.0,2.244,-25.0,-2.319,72.0,1.682,110.0,3.452,88.0,1.641,125.0,2.389,-5.0,-1.0,4.0,-0.115,-4.0,6.0,-0.375,2003.0,Oklahoma State,Pennsylvania ,0.0
-196.0,0.485,-103.0,-280.0,0.017,96.0,197.0,0.037,-87.0,-167.0,0.045,-103.0,-2.559,-60.0,0.311,-163.0,-2.244,25.0,2.319,-72.0,-1.682,-110.0,-3.452,-88.0,-1.641,-125.0,-2.389,5.0,1.0,-4.0,0.115,4.0,-6.0,0.375,2003.0,Pennsylvania ,Oklahoma State,1.0
114.0,3.931,96.0,138.0,0.018,-8.0,1.0,-0.019,-70.0,-8.0,-0.093,-34.0,-1.172,-41.0,-1.413,-76.0,-2.62,32.0,1.104,-25.0,-0.862,98.0,3.379,-16.0,-0.552,-155.0,-5.345,-11.0,3.0,-3.0,0.104,-1.0,-1.0,0.034,2003.0,Syracuse,Manhattan,0.0
-114.0,-3.931,-96.0,-138.0,-0.018,8.0,-1.0,0.019,70.0,8.0,0.093,34.0,1.172,41.0,1.413,76.0,2.62,-32.0,-1.104,25.0,0.862,-98.0,-3.379,16.0,0.552,155.0,5.345,11.0,-3.0,3.0,-0.104,1.0,1.0,-0.034,2003.0,Manhattan,Syracuse,1.0
149.0,0.25,100.0,134.0,0.023,-56.0,-120.0,-0.024,5.0,37.0,-0.032,66.0,1.502,29.0,-0.52,95.0,0.985,14.0,-0.445,41.0,0.858,-3.0,-0.455,127.0,3.282,-36.0,-2.372,3.0,-1.0,3.0,-0.082,-5.0,6.0,-0.362,2003.0,Saint Joseph's,Auburn,1.0
-149.0,-0.25,-100.0,-134.0,-0.023,56.0,120.0,0.024,-5.0,-37.0,0.032,-66.0,-1.502,-29.0,0.52,-95.0,-0.985,-14.0,0.445,-41.0,-0.858,3.0,0.455,-127.0,-3.282,36.0,2.372,-3.0,1.0,-3.0,0.082,5.0,-6.0,0.362,2003.0,Auburn,Saint Joseph's,0.0
196.0,3.919,117.0,213.0,0.01,-15.0,-50.0,0.005,-23.0,-9.0,-0.022,-14.0,-0.916,-32.0,-1.926,-48.0,-2.909,18.0,0.114,156.0,4.986,28.0,0.784,105.0,3.005,32.0,0.453,13.0,-2.0,3.0,-0.092,-1.0,1.0,-0.062,2003.0,Wake Forest,East Tennessee State,0.0
-196.0,-3.919,-117.0,-213.0,-0.01,15.0,50.0,-0.005,23.0,9.0,0.022,14.0,0.916,32.0,1.926,48.0,2.909,-18.0,-0.114,-156.0,-4.986,-28.0,-0.784,-105.0,-3.005,-32.0,-0.453,-13.0,2.0,-3.0,0.092,1.0,-1.0,0.062,2003.0,East Tennessee State,Wake Forest,1.0
-25.0,-3.316,-35.0,-7.0,-0.019,38.0,75.0,0.017,7.0,-8.0,0.022,35.0,0.822,29.0,0.193,65.0,1.05,-39.0,-1.833,18.0,0.381,32.0,0.974,-55.0,-2.302,64.0,1.566,-7.0,2.0,-1.0,0.043,-1.0,-1.0,0.028,2003.0,Oklahoma,California,0.0
25.0,3.316,35.0,7.0,0.019,-38.0,-75.0,-0.017,-7.0,8.0,-0.022,-35.0,-0.822,-29.0,-0.193,-65.0,-1.05,39.0,1.833,-18.0,-0.381,-32.0,-0.974,55.0,2.302,-64.0,-1.566,7.0,-2.0,1.0,-0.043,1.0,1.0,-0.028,2003.0,California,Oklahoma,1.0
406.0,13.533,117.0,311.0,-0.017,3.0,52.0,-0.025,168.0,259.0,-0.026,163.0,5.433,171.0,5.7,335.0,11.166,113.0,3.767,25.0,0.833,87.0,2.9,83.0,2.766,195.0,6.5,-8.0,-4.0,4.0,-0.133,-3.0,3.0,-0.187,2003.0,Louisville,Butler,1.0
